OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
1.0,0,1,-39.0,3624.0,ffffa838,42ba88
1.0,0,2,-38.0,3725.0,fffface8,4493f8
1.0,0,3,-37.0,3827.0,ffffb198,467218
1.0,0,4,-36.0,3928.0,ffffb648,484b88
1.0,0,5,-35.0,4030.0,ffffbaf8,4a29a8
1.0,0,6,-34.0,4132.0,ffffbfa8,4c07c8
1.0,0,7,-33.0,4233.0,ffffc458,4de138
1.0,0,8,-32.0,4335.0,ffffc908,4fbf58
1.0,0,9,-31.0,4436.0,ffffcdb8,5198c8
1.0,0,10,-30.0,4538.0,ffffd268,5376e8
1.0,0,11,-29.0,4640.0,ffffd718,555508
1.0,0,12,-28.0,4741.0,ffffdbc8,572e78
1.0,0,13,-27.0,4843.0,ffffe078,590c98
1.0,0,14,-26.0,4945.0,ffffe528,5aeab8
1.0,0,15,-25.0,5046.0,ffffe9d8,5cc428
1.0,0,16,-24.0,5148.0,ffffee88,5ea248
1.0,0,17,-23.0,5250.0,fffff338,608068
1.0,0,18,-22.0,5351.0,fffff7e8,6259d8
1.0,0,19,-21.0,5453.0,fffffc98,6437f8
1.0,0,20,-20.0,5555.0,148,661618
1.0,0,21,-19.0,5657.0,5f8,67f438
1.0,0,22,-18.0,5758.0,aa8,69cda8
1.0,0,23,-17.0,5860.0,f58,6babc8
1.0,0,24,-16.0,5962.0,1408,6d89e8
1.0,0,25,-15.0,6064.0,18b8,6f6808
1.0,0,26,-14.0,6165.0,1d68,714178
1.0,0,27,-13.0,6267.0,2218,731f98
1.0,0,28,-12.0,6369.0,26c8,74fdb8
1.0,0,29,-11.0,6471.0,2b78,76dbd8
1.0,0,30,-10.0,6573.0,3028,78b9f8
1.0,0,31,-9.0,6674.0,34d8,7a9368
1.0,0,32,-8.0,6776.0,3988,7c7188
1.0,0,33,-7.0,6878.0,3e38,7e4fa8
1.0,0,34,-6.0,6980.0,42e8,802dc8
1.0,0,35,-5.0,7082.0,4798,820be8
1.0,0,36,-4.0,7184.0,4c48,83ea08
1.0,0,37,-3.0,7285.0,50f8,85c378
1.0,0,38,-2.0,7387.0,55a8,87a198
1.0,0,39,-1.0,7489.0,5a58,897fb8
1.0,0,40,0.0,7591.0,5f08,8b5dd8
1.0,0,41,1.0,7693.0,63b8,8d3bf8
1.0,0,42,2.0,7795.0,6868,8f1a18
1.0,0,43,3.0,7897.0,6d18,90f838
1.0,0,44,4.0,7999.0,71c8,92d658
1.0,0,45,5.0,8101.0,7678,94b478
1.0,0,46,6.0,8203.0,7b28,969298
1.0,0,47,7.0,8305.0,7fd8,9870b8
1.0,0,48,8.0,8407.0,8488,9a4ed8
1.0,0,49,9.0,8508.0,8938,9c2848
1.0,0,50,10.0,8611.0,8de8,9e0b18
1.0,0,51,11.0,8712.0,9298,9fe488
1.0,0,52,12.0,8814.0,9748,a1c2a8
1.0,0,53,13.0,8916.0,9bf8,a3a0c8
1.0,0,54,14.0,9018.0,a0a8,a57ee8
1.0,0,55,15.0,9120.0,a558,a75d08
1.0,0,56,16.0,9223.0,aa08,a93fd8
1.0,0,57,17.0,9325.0,aeb8,ab1df8
1.0,0,58,18.0,9427.0,b368,acfc18
1.0,0,59,19.0,9529.0,b818,aeda38
1.0,0,60,20.0,9631.0,bcc8,b0b858
1.0,0,61,21.0,9733.0,c178,b29678
1.0,0,62,22.0,9835.0,c628,b47498
1.0,0,63,23.0,9937.0,cad8,b652b8
1.0,0,64,24.0,10039.0,cf88,b830d8
1.0,0,65,25.0,10141.0,d438,ba0ef8
1.0,0,66,26.0,10243.0,d8e8,bbed18
1.0,0,67,27.0,10345.0,dd98,bdcb38
1.0,0,68,28.0,10447.0,e248,bfa958
1.0,0,69,29.0,10549.0,e6f8,c18778
1.0,0,70,30.0,10652.0,eba8,c36a48
1.0,0,71,31.0,10754.0,f058,c54868
1.0,0,72,32.0,10856.0,f508,c72688
1.0,0,73,33.0,10958.0,f9b8,c904a8
1.0,0,74,34.0,11060.0,fe68,cae2c8
1.0,0,75,35.0,11162.0,10318,ccc0e8
1.0,0,76,36.0,11264.0,107c8,ce9f08
1.0,0,77,37.0,11367.0,10c78,d081d8
1.0,0,78,38.0,11289.0,11128,cf1438
1.0,0,79,39.0,11097.0,115d8,cb9038
1.0,0,80,40.0,10900.0,11a88,c7f4c8
1.0,0,81,41.0,10709.0,11f38,c47578
1.0,0,82,42.0,10521.0,123e8,c10438
1.0,0,83,43.0,10334.0,12898,bd97a8
1.0,0,84,44.0,10127.0,12d48,b9cd58
1.0,0,85,45.0,9907.0,131f8,b5c618
1.0,0,86,46.0,9697.0,136a8,b1edb8
1.0,0,87,47.0,9483.0,13b58,ae0298
1.0,0,88,48.0,9271.0,14008,aa20d8
1.0,0,89,48.0,9267.0,14008,aa0e18
2.0,0,0,-40.0,4402.0,ffffa388,50f968
2.0,0,1,-39.0,4508.0,ffffa838,52ea48
2.0,0,2,-38.0,4613.0,fffface8,54d678
2.0,0,3,-37.0,4719.0,ffffb198,56c758
2.0,0,4,-36.0,4824.0,ffffb648,58b388
2.0,0,5,-35.0,4929.0,ffffbaf8,5a9fb8
2.0,0,6,-34.0,5035.0,ffffbfa8,5c9098
2.0,0,7,-33.0,5140.0,ffffc458,5e7cc8
2.0,0,8,-32.0,5246.0,ffffc908,606da8
2.0,0,9,-31.0,5351.0,ffffcdb8,6259d8
2.0,0,10,-30.0,5457.0,ffffd268,644ab8
2.0,0,11,-29.0,5562.0,ffffd718,6636e8
2.0,0,12,-28.0,5668.0,ffffdbc8,6827c8
2.0,0,13,-27.0,5773.0,ffffe078,6a13f8
2.0,0,14,-26.0,5879.0,ffffe528,6c04d8
2.0,0,15,-25.0,5984.0,ffffe9d8,6df108
2.0,0,16,-24.0,6090.0,ffffee88,6fe1e8
2.0,0,17,-23.0,6196.0,fffff338,71d2c8
2.0,0,18,-22.0,6301.0,fffff7e8,73bef8
2.0,0,19,-21.0,6407.0,fffffc98,75afd8
2.0,0,20,-20.0,6512.0,148,779c08
2.0,0,21,-19.0,6618.0,5f8,798ce8
2.0,0,22,-18.0,6724.0,aa8,7b7dc8
2.0,0,23,-17.0,6829.0,f58,7d69f8
2.0,0,24,-16.0,6935.0,1408,7f5ad8
2.0,0,25,-15.0,7040.0,18b8,814708
2.0,0,26,-14.0,7146.0,1d68,8337e8
2.0,0,27,-13.0,7252.0,2218,8528c8
2.0,0,28,-12.0,7357.0,26c8,8714f8
