OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
0.0,0,64,24.0,6321.0,cf88,741cb8
0.0,0,65,25.0,6410.0,d438,75bde8
0.0,0,66,26.0,6498.0,d8e8,775a68
0.0,0,67,27.0,6587.0,dd98,78fb98
0.0,0,68,28.0,6676.0,e248,7a9cc8
0.0,0,69,29.0,6765.0,e6f8,7c3df8
0.0,0,70,30.0,6853.0,eba8,7dda78
0.0,0,71,31.0,6942.0,f058,7f7ba8
0.0,0,72,32.0,7031.0,f508,811cd8
0.0,0,73,33.0,7120.0,f9b8,82be08
0.0,0,74,34.0,7208.0,fe68,845a88
0.0,0,75,35.0,7297.0,10318,85fbb8
0.0,0,76,36.0,7386.0,107c8,879ce8
0.0,0,77,37.0,7475.0,10c78,893e18
0.0,0,78,38.0,7564.0,11128,8adf48
0.0,0,79,39.0,7653.0,115d8,8c8078
0.0,0,80,40.0,7741.0,11a88,8e1cf8
0.0,0,81,41.0,7830.0,11f38,8fbe28
0.0,0,82,42.0,7919.0,123e8,915f58
0.0,0,83,43.0,8008.0,12898,930088
0.0,0,84,44.0,8097.0,12d48,94a1b8
0.0,0,85,45.0,8186.0,131f8,9642e8
0.0,0,86,46.0,8275.0,136a8,97e418
0.0,0,87,47.0,8364.0,13b58,998548
0.0,0,88,48.0,8453.0,14008,9b2678
0.0,0,89,49.0,8542.0,144b8,9cc7a8
0.0,0,90,50.0,8631.0,14968,9e68d8
1.0,0,0,-40.0,3092.0,ffffa388,38fcc8
1.0,0,1,-39.0,3183.0,ffffa838,3aa758
1.0,0,2,-38.0,3274.0,fffface8,3c51e8
1.0,0,3,-37.0,3365.0,ffffb198,3dfc78
1.0,0,4,-36.0,3456.0,ffffb648,3fa708
1.0,0,5,-35.0,3547.0,ffffbaf8,415198
1.0,0,6,-34.0,3638.0,ffffbfa8,42fc28
1.0,0,7,-33.0,3730.0,ffffc458,44ab68
1.0,0,8,-32.0,3821.0,ffffc908,4655f8
1.0,0,9,-31.0,3912.0,ffffcdb8,480088
1.0,0,10,-30.0,4003.0,ffffd268,49ab18
1.0,0,11,-29.0,4094.0,ffffd718,4b55a8
1.0,0,12,-28.0,4192.0,ffffdbc8,4d2108
1.0,0,13,-27.0,4290.0,ffffe078,4eec68
1.0,0,14,-26.0,4389.0,ffffe528,50bc78
1.0,0,15,-25.0,4487.0,ffffe9d8,5287d8
1.0,0,16,-24.0,4586.0,ffffee88,5457e8
1.0,0,17,-23.0,4684.0,fffff338,562348
1.0,0,18,-22.0,4783.0,fffff7e8,57f358
1.0,0,19,-21.0,4881.0,fffffc98,59beb8
1.0,0,20,-20.0,4980.0,148,5b8ec8
1.0,0,21,-19.0,5079.0,5f8,5d5ed8
1.0,0,22,-18.0,5177.0,aa8,5f2a38
1.0,0,23,-17.0,5276.0,f58,60fa48
1.0,0,24,-16.0,5375.0,1408,62ca58
1.0,0,25,-15.0,5473.0,18b8,6495b8
1.0,0,26,-14.0,5572.0,1d68,6665c8
1.0,0,27,-13.0,5671.0,2218,6835d8
1.0,0,28,-12.0,5769.0,26c8,6a0138
1.0,0,29,-11.0,5868.0,2b78,6bd148
1.0,0,30,-10.0,5967.0,3028,6da158
1.0,0,31,-9.0,6066.0,34d8,6f7168
1.0,0,32,-8.0,6164.0,3988,713cc8
1.0,0,33,-7.0,6263.0,3e38,730cd8
1.0,0,34,-6.0,6362.0,42e8,74dce8
1.0,0,35,-5.0,6461.0,4798,76acf8
1.0,0,36,-4.0,6560.0,4c48,787d08
1.0,0,37,-3.0,6659.0,50f8,7a4d18
1.0,0,38,-2.0,6757.0,55a8,7c1878
1.0,0,39,-1.0,6856.0,5a58,7de888
1.0,0,40,0.0,6955.0,5f08,7fb898
1.0,0,41,1.0,7054.0,63b8,8188a8
1.0,0,42,2.0,7153.0,6868,8358b8
1.0,0,43,3.0,7252.0,6d18,8528c8
1.0,0,44,4.0,7351.0,71c8,86f8d8
1.0,0,45,5.0,7450.0,7678,88c8e8
1.0,0,46,6.0,7549.0,7b28,8a98f8
1.0,0,47,7.0,7648.0,7fd8,8c6908
1.0,0,48,8.0,7747.0,8488,8e3918
1.0,0,49,9.0,7846.0,8938,900928
1.0,0,50,10.0,7945.0,8de8,91d938
1.0,0,51,11.0,8044.0,9298,93a948
1.0,0,52,12.0,8143.0,9748,957958
1.0,0,53,13.0,8242.0,9bf8,974968
1.0,0,54,14.0,8341.0,a0a8,991978
1.0,0,55,15.0,8440.0,a558,9ae988
1.0,0,56,16.0,8539.0,aa08,9cb998
1.0,0,57,17.0,8639.0,aeb8,9e8e58
1.0,0,58,18.0,8738.0,b368,a05e68
1.0,0,59,19.0,8837.0,b818,a22e78
1.0,0,60,20.0,8936.0,bcc8,a3fe88
1.0,0,61,21.0,9035.0,c178,a5ce98
1.0,0,62,22.0,9134.0,c628,a79ea8
1.0,0,63,23.0,9234.0,cad8,a97368
1.0,0,64,24.0,9333.0,cf88,ab4378
1.0,0,65,25.0,9432.0,d438,ad1388
1.0,0,66,26.0,9531.0,d8e8,aee398
1.0,0,67,27.0,9630.0,dd98,b0b3a8
1.0,0,68,28.0,9730.0,e248,b28868
1.0,0,69,29.0,9829.0,e6f8,b45878
1.0,0,70,30.0,9928.0,eba8,b62888
1.0,0,71,31.0,10027.0,f058,b7f898
1.0,0,72,32.0,10127.0,f508,b9cd58
1.0,0,73,33.0,10226.0,f9b8,bb9d68
1.0,0,74,34.0,10325.0,fe68,bd6d78
1.0,0,75,35.0,10425.0,10318,bf4238
1.0,0,76,36.0,10524.0,107c8,c11248
1.0,0,77,37.0,10623.0,10c78,c2e258
1.0,0,78,38.0,10723.0,11128,c4b718
1.0,0,79,39.0,10822.0,115d8,c68728
1.0,0,80,40.0,10922.0,11a88,c85be8
1.0,0,81,41.0,11021.0,11f38,ca2bf8
1.0,0,82,42.0,11120.0,123e8,cbfc08
1.0,0,83,43.0,11220.0,12898,cdd0c8
1.0,0,84,44.0,11081.0,12d48,cb4538
1.0,0,85,45.0,10861.0,131f8,c73df8
1.0,0,86,46.0,10652.0,136a8,c36a48
1.0,0,87,47.0,10438.0,13b58,bf7f28
1.0,0,88,48.0,10226.0,14008,bb9d68
1.0,0,89,48.0,10222.0,14008,bb8aa8
2.0,0,0,-40.0,3881.0,ffffa388,476f38
2.0,0,1,-39.0,3976.0,ffffa838,492c88
2.0,0,2,-38.0,4070.0,fffface8,4ae528
2.0,0,3,-37.0,4170.0,ffffb198,4cb9e8
2.0,0,4,-36.0,4272.0,ffffb648,4e9808
2.0,0,5,-35.0,4374.0,ffffbaf8,507628
2.0,0,6,-34.0,4476.0,ffffbfa8,525448
2.0,0,7,-33.0,4578.0,ffffc458,543268
2.0,0,8,-32.0,4681.0,ffffc908,561538
2.0,0,9,-31.0,4783.0,ffffcdb8,57f358
2.0,0,10,-30.0,4885.0,ffffd268,59d178
2.0,0,11,-29.0,4987.0,ffffd718,5baf98
2.0,0,12,-28.0,5090.0,ffffdbc8,5d9268
2.0,0,13,-27.0,5192.0,ffffe078,5f7088
2.0,0,14,-26.0,5294.0,ffffe528,614ea8
2.0,0,15,-25.0,5397.0,ffffe9d8,633178
2.0,0,16,-24.0,5499.0,ffffee88,650f98
2.0,0,17,-23.0,5601.0,fffff338,66edb8
2.0,0,18,-22.0,5704.0,fffff7e8,68d088
2.0,0,19,-21.0,5806.0,fffffc98,6aaea8
2.0,0,20,-20.0,5909.0,148,6c9178
2.0,0,21,-19.0,6011.0,5f8,6e6f98
2.0,0,22,-18.0,6113.0,aa8,704db8
2.0,0,23,-17.0,6216.0,f58,723088
2.0,0,24,-16.0,6318.0,1408,740ea8
2.0,0,25,-15.0,6421.0,18b8,75f178
2.0,0,26,-14.0,6523.0,1d68,77cf98
2.0,0,27,-13.0,6626.0,2218,79b268
2.0,0,28,-12.0,6728.0,26c8,7b9088
2.0,0,29,-11.0,6831.0,2b78,7d7358
